"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","Not-determined","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"163","Mars-80",10887.0487132353,13.6838235294118,485,1087,1088,58,1,3,461,24,599,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578694,161.78658
"164","Mars-81",10936.2206832872,13.7987072945522,510,1076,1083,79,2,5,461,25,590,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.57775,161.78817
"165","Mars-82",10938.6386554622,13.5798319327731,86,118,119,0,0,1,30,1,87,"Dry Valleys","Convoy Range",2004,"Sandstone",-76.965944,160.765556
"166","Mars-83",10794.2819148936,12.1329787234043,115,188,188,9,0,1,55,4,128,"Dry Valleys","Convoy Range",2004,"Sandstone",-76.941667,161.078889
"167","Mars-84",10667.7854710556,12.5550510783201,394,879,881,49,1,5,333,16,526,"Dry Valleys","Convoy Range",2004,"Sandstone",-76.965944,160.765556
"168","Mars-85b",9908.81264916468,12.1169451073986,343,838,838,34,0,1,262,7,568,"Northen Victoria Land","Inexpressible Island",1998,"Granite",-74.889306,163.7455
"169","Mars-86",11588.6423611111,14.4131944444444,151,285,288,19,1,2,114,6,165,"Northen Victoria Land","Mt. Billing",1996,"Sandstone",-75.70525,160.913889
"170","Mars-87b",12363.4608433735,14.0240963855422,166,331,332,25,0,3,128,8,193,"Northen Victoria Land","Anderson Ridge",1996,"Granite",-74.714167,162.617778
"171","Mars-88",10085.3041274439,12.442433019551,358,1380,1381,57,4,5,573,37,762,"Antarctic Peninsula","Dufayel Island",2001,"Basalt/Dolerite",-62.16608,-58.55799
"172","Mars-89b",10177.1442516269,11.1236442516269,278,921,922,30,2,7,299,18,596,"Antarctic Peninsula","Machu Picchu Base",2001,"Quartz",-62.10008,-58.51664
"173","Mars-8b",12917.6666666667,14.1746031746032,39,62,63,4,1,0,26,1,35,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"174","Mars-9",9877.8936605317,11.6462167689162,275,473,489,17,0,2,153,5,329,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"175","Mars-90b",10405.5167832168,12.5741258741259,325,1430,1430,78,7,0,458,26,939,"Antarctic Peninsula","Machu Picchu Base",2001,"Quartz",-62.10008,-58.51664
"176","Mars-91",10037.6557377049,11.6775956284153,100,178,183,2,0,1,44,4,134,"Northen Victoria Land","Mt. Billing",1996,"Granite",-74.889306,163.7455
"177","Mars-92",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Timber Peak",2018,"Sandstone",-74.172028,162.429192
"178","Mars-93",10052.6520650814,12.1602002503129,367,786,799,30,0,4,293,15,487,"Northen Victoria Land","Vegetation Island",2004,"Granite",-74.784167,163.659722
"179","Mars-94",10391.1477124183,12.2941176470588,340,763,765,42,0,1,278,15,471,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.399583,164.005972
"180","Mars-95",11824.4077669903,14.0582524271845,168,308,309,10,0,6,74,2,227,"Northen Victoria Land","Mt. Dickason",2010,"Granite",-74.399583,164.005972
"181","MtNewZealnordMG_2",10240.7142857143,12.4357142857143,389,694,700,42,0,1,225,17,457,"Northen Victoria Land","Mt. New Zealand",2015,"Sandstone",-74.178,162.514
"182","PudButnordMG_2",0,0,0,0,0,0,0,0,0,0,0,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.973
"183","PudButsudMG_2",10684.9915433404,12.1437632135307,272,467,473,22,0,5,151,6,311,"Northen Victoria Land","Pudding Butte",2015,"Sandstone",-75.858,159.973
"184","RickerHillsnord_2",9653.17213114754,11.7704918032787,211,361,366,20,0,2,143,5,216,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.703,159.233
"185","RicNunsandstonMG_3",9333.36148300721,10.8537590113285,444,958,971,30,0,2,260,8,701,"Northen Victoria Land","Richard Nunatak",2015,"Sandstone",-75.933,159.8
"186","RicNunsandstonMG_4",10352.4833091437,12.7837445573295,401,679,689,29,0,2,201,17,469,"Northen Victoria Land","Richard Nunatak",2015,"Sandstone",-75.933,159.797
"187","SiePeanordMG_2",11585.8834355828,14.5480572597137,263,485,489,31,1,1,209,18,260,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578,161.786
"188","SiePeasudMG_2",11852.0527950311,14.7562111801242,278,641,644,53,1,2,278,23,340,"Dry Valleys","Siegfried Peak",2015,"Sandstone",-77.578,161.786
"189","TrioNunataknord_2",9466.55572065379,11.332838038633,372,668,673,40,1,4,207,6,455,"Northen Victoria Land","Trio Nunatak",2015,"Sandstone",-75.482,159.591
"190","UniValnordMG_2",9016.53956834532,11.0989208633094,311,546,556,26,0,4,179,4,369,"Dry Valleys","University Valley",2015,"Sandstone",-77.874,160.739
"191","UniValsudMG_2",10403.4662650602,12.5518072289157,425,817,830,36,0,4,285,16,525,"Dry Valleys","University Valley",2015,"Sandstone",-77.872,160.755
