"","SampleID","contig_length_avg","gene_count_avg","num_VCs","num_vOTUs","num_seqs","provirus_num","Complete","High-quality","Low-quality","Medium-quality","AreaSample","Site.name...8","Year of collection","Rocks_v2","Latitude","Longitude"
"132","Mars-55",22610.4,27.1,17,30,30,5,0,0,27,3,"Northen Victoria Land","Mt. Nansen",2010,"Granite",-74.56778,162.24361
"133","Mars-56",24614.3738317757,32.9345794392523,56,107,107,24,0,0,89,18,"Northen Victoria Land","Mt. Nansen",2010,"Granite",-74.62861,162.59389
"134","Mars-57b",20434.8078817734,26.3399014778325,97,203,203,62,0,2,179,22,"Northen Victoria Land","Vegetation Island",2004,"Granite",-74.78417,163.65972
"135","Mars-58",24086.5462555066,31.2422907488987,107,226,227,62,1,5,190,31,"Northen Victoria Land","Vegetation Island",2004,"Granite",-74.78417,163.65972
"136","Mars-59",19696.5850340136,26.3333333333333,62,144,147,17,0,1,136,10,"Northen Victoria Land","Vegetation Island",2010,"Granite",-74.78417,163.65972
"137","Mars-6",18418.5,24.8333333333333,36,54,54,3,0,0,50,4,"Northen Victoria Land","Ricker Hills",2015,"Sandstone",-75.70406,159.22761
"138","Mars-60b",20296.0810810811,26.8738738738739,53,111,111,16,1,1,104,5,"Northen Victoria Land","Mt. Burrow",2010,"Granite",-73.66667,163.66667
"139","Mars-61",23924.1261261261,28.6396396396396,55,111,111,25,0,1,96,14,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"140","Mars-62",16634.5789473684,18.2105263157895,7,19,19,1,0,2,17,0,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"141","Mars-63",21142.3020833333,24.15625,32,95,96,17,0,0,90,6,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"142","Mars-64",23569.0746268657,27.6791044776119,54,134,134,22,1,7,117,9,"Northen Victoria Land","Widowmaker Pass",2010,"Granite",-74.93278,162.40444
"143","Mars-65",24491.3396226415,29.9245283018868,19,52,53,9,1,2,46,4,"Northen Victoria Land","Crater Circle",2010,"Granite",-72.60333,169.34883
"144","Mars-66",22846.8144329897,29.9381443298969,86,194,194,40,1,1,163,29,"Northen Victoria Land","Mt. Billing",2010,"Basalt/Dolerite",-75.703333,160.908
